pptID,TrialType,Accuracy,RT,Group
104,Match,0.25,3.073190853,2
143,Match,0.25,3.36489911,1
148,Match,0.4,2.681896565,2
126,Nonmatch,0.45,2.78490362,2
144,Match,0.45,1.852909684,2
119,Match,0.5,3.294150275,1
146,Nonmatch,0.5,2.41571142,2
130,Nonmatch,0.55,8.725864535,2
141,Nonmatch,0.55,1.832275047,1
107,Match,0.6,3.32075754,1
112,Nonmatch,0.6,4.799199825,2
116,Match,0.6,5.806860025,1
121,Match,0.6,6.25452802,1
147,Match,0.6,3.61158456,1
105,Match,0.65,8.43365022,1
109,Match,0.65,2.07353713,1
110,Nonmatch,0.65,2.65013337,2
112,Match,0.65,3.882645785,2
120,Match,0.65,11.88167353,2
106,Match,0.7,4.98887883,2
108,Match,0.7,5.46057183,2
115,Nonmatch,0.7,15.28778423,2
119,Nonmatch,0.7,2.957194205,1
121,Nonmatch,0.7,6.282219915,1
123,Nonmatch,0.7,5.40841087,1
125,Nonmatch,0.7,2.070746855,1
129,Nonmatch,0.7,3.199992135,1
134,Match,0.7,3.221983765,2
137,Match,0.7,4.572540615,2
145,Nonmatch,0.7,6.75156761,1
148,Nonmatch,0.7,2.876059385,2
101,Nonmatch,0.75,12.95130792,1
102,Nonmatch,0.75,4.471688725,2
124,Match,0.75,4.47150619,2
125,Match,0.75,1.83911812,1
126,Match,0.75,2.329861145,2
129,Match,0.75,3.330165325,1
145,Match,0.75,5.914413315,1
103,Nonmatch,0.8,5.767386725,1
105,Nonmatch,0.8,7.622016635,1
123,Match,0.8,3.59631414,1
135,Match,0.8,7.10715726,1
137,Nonmatch,0.8,4.65110595,2
139,Match,0.8,4.163880995,2
142,Nonmatch,0.8,1.71090245,2
143,Nonmatch,0.8,3.610888975,1
102,Match,0.85,4.48708782,2
107,Nonmatch,0.85,4.033531545,1
108,Nonmatch,0.85,4.47125917,2
109,Nonmatch,0.85,1.71372046,1
110,Match,0.85,2.263836035,2
118,Match,0.85,6.16378293,2
134,Nonmatch,0.85,3.049753715,2
138,Match,0.85,8.28135685,1
103,Match,0.9,5.96344057,1
111,Match,0.9,2.30135562,1
122,Match,0.9,13.20493202,2
124,Nonmatch,0.9,3.338949,2
127,Match,0.9,9.38941189,1
128,Nonmatch,0.9,6.5540777,2
130,Match,0.9,6.253219515,2
131,Match,0.9,5.238086635,1
132,Nonmatch,0.9,3.75846311,2
133,Nonmatch,0.9,4.236390285,1
139,Nonmatch,0.9,3.25559594,2
142,Match,0.9,2.33475529,2
104,Nonmatch,0.95,2.245822905,2
106,Nonmatch,0.95,3.27163525,2
111,Nonmatch,0.95,4.0210647,1
113,Match,0.95,5.012692265,1
115,Match,0.95,13.82365937,2
116,Nonmatch,0.95,5.383842445,1
128,Match,0.95,4.70017524,2
131,Nonmatch,0.95,3.91087319,1
133,Match,0.95,3.888942235,1
144,Nonmatch,0.95,1.495091288,2
146,Match,0.95,2.610488275,2
101,Match,1,9.51009395,1
113,Nonmatch,1,4.570529725,1
118,Nonmatch,1,3.91088223,2
120,Nonmatch,1,11.31015161,2
122,Nonmatch,1,11.47435896,2
127,Nonmatch,1,6.472663015,1
132,Match,1,4.94309305,2
135,Nonmatch,1,4.404612395,1
138,Nonmatch,1,7.965128455,1
141,Match,1,1.481309792,1
147,Nonmatch,1,4.248280645,1
